pa0329
Ryan Hildebrandt Thesis Study
03/29/2019	01:50:55 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PA	pa0329	pa0329	Positive Emotion Label	6	Positive Emotion Label Prime Mismatch, 1	34	Pair 2 POS.E.P.MM 3 (1, scared)	647	Mismatch	/					Mismatch	C	5289							Primed	Mismatch	Positive (trial)	Emotion Label (trial)	Emotion Label	Positive	Prime (trial)	Mismatch (trial)
PA	pa0329	pa0329	Positive Emotion Label	6	Positive Emotion Label Prime Mismatch, 4	37	Target POS.E.P.MM 4 (4, ecstasy)	639							(any response)	NR	0							Primed	Mismatch	Positive	Emotion Label	Emotion Label	Positive	Prime	Mismatch
PA	pa0329	pa0329	Positive Emotion Label	6	Positive Emotion Label Prime Mismatch, 4	37	Pair 1 POS.E.P.MM 3 (4, truck)	645							Mismatch	NR	0							Primed	Mismatch	Positive (trial)	Emotion Label (trial)	Emotion Label	Positive	Prime (trial)	Mismatch (trial)
PA	pa0329	pa0329	Positive Emotion Label	6	Positive Emotion Label Prime Mismatch, 4	37	Pair 2 POS.E.P.MM 3 (4, elated)	650	Mismatch	/					Mismatch	C	5928							Primed	Mismatch	Positive (trial)	Emotion Label (trial)	Emotion Label	Positive	Prime (trial)	Mismatch (trial)
PA	pa0329	pa0329	Positive Emotion Label	6	Positive Emotion Label Prime Mismatch, 2	35	Target POS.E.P.MM 4 (2, kind)	637							(any response)	NR	0							Primed	Mismatch	Positive	Emotion Label	Emotion Label	Positive	Prime	Mismatch
PA	pa0329	pa0329	Positive Emotion Label	6	Positive Emotion Label Prime Mismatch, 2	35	Pair 1 POS.E.P.MM 3 (2, honest)	643							Mismatch	NR	0							Primed	Mismatch	Positive (trial)	Emotion Label (trial)	Emotion Label	Positive	Prime (trial)	Mismatch (trial)
PA	pa0329	pa0329	Positive Emotion Label	6	Positive Emotion Label Prime Mismatch, 2	35	Pair 2 POS.E.P.MM 3 (2, grief)	648	Mismatch	/					Mismatch	C	5316							Primed	Mismatch	Positive (trial)	Emotion Label (trial)	Emotion Label	Positive	Prime (trial)	Mismatch (trial)
PA	pa0329	pa0329	Positive Emotion Label	6	Positive Emotion Label Prime Match, 1	29	Target POS.E.P.M 2 (1, elated)	607							(any response)	NR	0							Primed	Match	Positive	Emotion Label	Emotion Label	Positive	Prime	Match
PA	pa0329	pa0329	Positive Emotion Label	6	Positive Emotion Label Prime Match, 1	29	Pair 1 POS.E.P.M 1 (1, brave)	613							(any response)	NR	0							Primed	Match	Positive (trial)	Emotion Label (trial)	Emotion Label	Positive	Prime (trial)	Match (trial)
PA	pa0329	pa0329	Positive Emotion Label	6	Positive Emotion Label Prime Match, 1	29	Pair 2 POS.E.P.M 1 (1, ecstasy)	618							Match	NR	0							Primed	Match	Positive (trial)	Emotion Label (trial)	Emotion Label	Positive	Prime (trial)	Match (trial)
